jdls,j,m,a,i,polluant1,polluant2,polluant3
lundi,10,10,2005,3,NO2,O3,PM10
mardi,11,10,2005,4,O3,,
mercredi,12,10,2005,3,NO2,O3,PM10
jeudi,13,10,2005,4,NO2,PM10,
vendredi,14,10,2005,4,NO2,O3,PM10
samedi,15,10,2005,4,O3,,
dimanche,16,10,2005,3,NO2,O3,PM10
lundi,17,10,2005,4,PM10,,
mardi,18,10,2005,3,PM10,,
mercredi,19,10,2005,3,NO2,O3,
jeudi,20,10,2005,3,NO2,,
vendredi,21,10,2005,2,NO2,O3,PM10
samedi,22,10,2005,3,O3,,
dimanche,23,10,2005,3,NO2,O3,
lundi,24,10,2005,2,NO2,O3,PM10
mardi,25,10,2005,3,O3,,
mercredi,26,10,2005,4,NO2,,
jeudi,27,10,2005,3,NO2,O3,PM10
vendredi,28,10,2005,3,NO2,PM10,
samedi,29,10,2005,3,O3,PM10,
dimanche,30,10,2005,3,NO2,O3,PM10
lundi,31,10,2005,2,NO2,O3,PM10
mardi,1,11,2005,3,NO2,O3,
mercredi,2,11,2005,2,NO2,O3,PM10
jeudi,3,11,2005,3,O3,,
vendredi,4,11,2005,3,NO2,PM10,
samedi,5,11,2005,3,NO2,,
dimanche,6,11,2005,3,O3,,
lundi,7,11,2005,3,NO2,,
mardi,8,11,2005,3,NO2,,
mercredi,9,11,2005,3,NO2,PM10,
jeudi,10,11,2005,4,NO2,,
vendredi,11,11,2005,2,NO2,O3,PM10
samedi,12,11,2005,2,NO2,O3,PM10
dimanche,13,11,2005,2,NO2,O3,PM10
lundi,14,11,2005,3,NO2,PM10,
mardi,15,11,2005,3,NO2,PM10,
mercredi,16,11,2005,3,NO2,,
jeudi,17,11,2005,3,NO2,PM10,
vendredi,18,11,2005,4,NO2,PM10,
samedi,19,11,2005,3,NO2,PM10,
dimanche,20,11,2005,3,NO2,PM10,
lundi,21,11,2005,4,PM10,,
mardi,22,11,2005,3,NO2,,
mercredi,23,11,2005,3,NO2,PM10,
jeudi,24,11,2005,4,NO2,,
vendredi,25,11,2005,3,NO2,,
samedi,26,11,2005,2,NO2,O3,PM10
dimanche,27,11,2005,2,NO2,O3,PM10
lundi,28,11,2005,3,NO2,,
mardi,29,11,2005,4,NO2,,
mercredi,30,11,2005,3,NO2,PM10,
jeudi,1,12,2005,3,NO2,,
vendredi,2,12,2005,3,O3,,
samedi,3,12,2005,3,O3,,
dimanche,4,12,2005,2,NO2,O3,
lundi,5,12,2005,3,NO2,,
mardi,6,12,2005,3,NO2,,
mercredi,7,12,2005,3,NO2,PM10,
jeudi,8,12,2005,3,NO2,,
vendredi,9,12,2005,3,PM10,,
samedi,10,12,2005,3,NO2,,
dimanche,11,12,2005,3,NO2,PM10,
lundi,12,12,2005,3,NO2,PM10,
mardi,13,12,2005,3,NO2,PM10,
mercredi,14,12,2005,3,NO2,PM10,
jeudi,15,12,2005,3,NO2,PM10,
vendredi,16,12,2005,3,NO2,,
samedi,17,12,2005,3,NO2,,
dimanche,18,12,2005,3,NO2,PM10,
lundi,19,12,2005,3,NO2,PM10,
mardi,20,12,2005,3,NO2,PM10,
mercredi,21,12,2005,3,NO2,PM10,
jeudi,22,12,2005,3,NO2,PM10,
vendredi,23,12,2005,4,NO2,PM10,
samedi,24,12,2005,4,NO2,PM10,
dimanche,25,12,2005,3,NO2,PM10,
lundi,26,12,2005,3,NO2,,
mardi,27,12,2005,2,NO2,O3,PM10
mercredi,28,12,2005,3,PM10,,
jeudi,29,12,2005,3,NO2,PM10,
vendredi,30,12,2005,2,NO2,O3,PM10
samedi,31,12,2005,3,O3,,
dimanche,1,1,2006,2,NO2,O3,PM10
lundi,2,1,2006,3,NO2,PM10,
mardi,3,1,2006,4,NO2,PM10,
mercredi,4,1,2006,3,NO2,PM10,
jeudi,5,1,2006,2,NO2,PM10,
vendredi,6,1,2006,3,PM10,,
samedi,7,1,2006,3,PM10,,
dimanche,8,1,2006,3,PM10,,
lundi,9,1,2006,4,PM10,,
mardi,10,1,2006,3,NO2,PM10,
mercredi,11,1,2006,2,NO2,O3,PM10
jeudi,12,1,2006,3,NO2,,
vendredi,13,1,2006,3,NO2,,
samedi,14,1,2006,3,NO2,PM10,
dimanche,15,1,2006,3,NO2,PM10,
lundi,16,1,2006,3,NO2,PM10,
mardi,17,1,2006,3,NO2,,
mercredi,18,1,2006,3,NO2,,
jeudi,19,1,2006,3,NO2,,
vendredi,20,1,2006,3,NO2,,
samedi,21,1,2006,3,NO2,PM10,
dimanche,22,1,2006,2,NO2,O3,PM10
lundi,23,1,2006,3,NO2,PM10,
mardi,24,1,2006,4,PM10,,
mercredi,25,1,2006,5,PM10,,
jeudi,26,1,2006,3,PM10,,
vendredi,27,1,2006,5,PM10,,
samedi,28,1,2006,5,PM10,,
dimanche,29,1,2006,4,PM10,,
lundi,30,1,2006,4,PM10,,
mardi,31,1,2006,5,PM10,,
mercredi,1,2,2006,7,NO2,PM10,
jeudi,2,2,2006,4,PM10,,
vendredi,3,2,2006,4,PM10,,
samedi,4,2,2006,3,NO2,PM10,
dimanche,5,2,2006,3,NO2,PM10,
lundi,6,2,2006,3,NO2,PM10,
mardi,7,2,2006,3,NO2,PM10,
mercredi,8,2,2006,3,NO2,O3,
jeudi,9,2,2006,3,NO2,,
vendredi,10,2,2006,4,NO2,,
samedi,11,2,2006,3,NO2,PM10,
dimanche,12,2,2006,3,NO2,PM10,
lundi,13,2,2006,3,NO2,PM10,
mardi,14,2,2006,3,NO2,PM10,
mercredi,15,2,2006,3,O3,,
jeudi,16,2,2006,3,NO2,O3,
vendredi,17,2,2006,3,O3,,
samedi,18,2,2006,3,O3,,
dimanche,19,2,2006,3,NO2,,
lundi,20,2,2006,3,NO2,,
mardi,21,2,2006,2,NO2,O3,PM10
mercredi,22,2,2006,2,NO2,O3,PM10
jeudi,23,2,2006,3,NO2,PM10,
vendredi,24,2,2006,3,NO2,PM10,
samedi,25,2,2006,3,PM10,,
dimanche,26,2,2006,3,PM10,,
lundi,27,2,2006,3,NO2,O3,PM10
mardi,28,2,2006,3,NO2,O3,
mercredi,1,3,2006,3,NO2,O3,
jeudi,2,3,2006,3,NO2,O3,
vendredi,3,3,2006,3,NO2,,
samedi,4,3,2006,3,NO2,O3,PM10
dimanche,5,3,2006,3,NO2,O3,
lundi,6,3,2006,3,NO2,O3,
mardi,7,3,2006,4,NO2,,
mercredi,8,3,2006,3,NO2,O3,
jeudi,9,3,2006,3,NO2,O3,
vendredi,10,3,2006,3,NO2,O3,
samedi,11,3,2006,3,O3,PM10,
dimanche,12,3,2006,4,O3,,
lundi,13,3,2006,4,O3,,
mardi,14,3,2006,4,NO2,PM10,
mercredi,15,3,2006,4,NO2,,
jeudi,16,3,2006,4,PM10,,
vendredi,17,3,2006,5,PM10,,
samedi,18,3,2006,4,O3,PM10,
dimanche,19,3,2006,4,O3,PM10,
lundi,20,3,2006,5,PM10,,
mardi,21,3,2006,4,PM10,,
mercredi,22,3,2006,3,NO2,PM10,
jeudi,23,3,2006,3,NO2,PM10,
vendredi,24,3,2006,3,NO2,O3,
samedi,25,3,2006,3,O3,,
dimanche,26,3,2006,3,NO2,O3,
lundi,27,3,2006,4,O3,,
mardi,28,3,2006,3,O3,,
mercredi,29,3,2006,4,O3,,
jeudi,30,3,2006,3,O3,,
vendredi,31,3,2006,3,O3,,
samedi,1,4,2006,4,O3,,
dimanche,2,4,2006,4,O3,,
lundi,3,4,2006,4,O3,,
mardi,4,4,2006,4,O3,,
mercredi,5,4,2006,4,O3,,
jeudi,6,4,2006,4,NO2,O3,
vendredi,7,4,2006,5,NO2,,
samedi,8,4,2006,4,O3,,
dimanche,9,4,2006,4,O3,,
lundi,10,4,2006,3,O3,,
mardi,11,4,2006,4,O3,,
mercredi,12,4,2006,4,O3,,
jeudi,13,4,2006,3,O3,,
vendredi,14,4,2006,3,NO2,O3,
samedi,15,4,2006,4,O3,,
dimanche,16,4,2006,3,O3,,
lundi,17,4,2006,4,O3,,
mardi,18,4,2006,4,O3,,
mercredi,19,4,2006,4,NO2,O3,
jeudi,20,4,2006,4,NO2,O3,
vendredi,21,4,2006,5,O3,,
samedi,22,4,2006,4,O3,,
dimanche,23,4,2006,5,O3,,
lundi,24,4,2006,4,O3,,
mardi,25,4,2006,3,NO2,O3,PM10
mercredi,26,4,2006,3,O3,,
jeudi,27,4,2006,4,O3,,
vendredi,28,4,2006,4,O3,,
samedi,29,4,2006,4,O3,,
dimanche,30,4,2006,4,O3,,
lundi,1,5,2006,3,O3,,
mardi,2,5,2006,4,O3,,
mercredi,3,5,2006,5,O3,,
jeudi,4,5,2006,5,O3,,
vendredi,5,5,2006,4,O3,,
samedi,6,5,2006,4,O3,,
dimanche,7,5,2006,4,O3,,
lundi,8,5,2006,4,O3,,
mardi,9,5,2006,3,O3,,
mercredi,10,5,2006,3,NO2,O3,PM10
jeudi,11,5,2006,6,O3,,
vendredi,12,5,2006,6,O3,,
samedi,13,5,2006,4,O3,,
dimanche,14,5,2006,4,O3,,
lundi,15,5,2006,4,O3,,
mardi,16,5,2006,2,NO2,O3,PM10
mercredi,17,5,2006,3,NO2,O3,PM10
jeudi,18,5,2006,4,O3,,
vendredi,19,5,2006,4,O3,,
samedi,20,5,2006,4,O3,,
dimanche,21,5,2006,3,O3,,
lundi,22,5,2006,4,O3,,
mardi,23,5,2006,4,O3,,
mercredi,24,5,2006,4,O3,,
jeudi,25,5,2006,4,O3,,
vendredi,26,5,2006,2,O3,PM10,
samedi,27,5,2006,2,O3,,
dimanche,28,5,2006,4,O3,,
lundi,29,5,2006,3,O3,,
mardi,30,5,2006,4,O3,,
mercredi,31,5,2006,3,O3,,
jeudi,1,6,2006,4,O3,,
vendredi,2,6,2006,4,O3,,
samedi,3,6,2006,5,O3,,
dimanche,4,6,2006,4,O3,,
lundi,5,6,2006,5,O3,,
mardi,6,6,2006,4,O3,,
mercredi,7,6,2006,5,O3,,
jeudi,8,6,2006,6,O3,,
vendredi,9,6,2006,5,O3,,
samedi,10,6,2006,6,O3,,
dimanche,11,6,2006,7,O3,,
lundi,12,6,2006,7,O3,,
mardi,13,6,2006,7,O3,,
mercredi,14,6,2006,4,O3,,
jeudi,15,6,2006,4,O3,,
vendredi,16,6,2006,5,O3,,
samedi,17,6,2006,5,O3,,
dimanche,18,6,2006,7,O3,,
lundi,19,6,2006,5,O3,,
mardi,20,6,2006,3,O3,,
mercredi,21,6,2006,3,O3,,
jeudi,22,6,2006,4,O3,,
vendredi,23,6,2006,4,O3,PM10,
samedi,24,6,2006,7,O3,,
dimanche,25,6,2006,4,O3,,
lundi,26,6,2006,4,O3,,
mardi,27,6,2006,4,O3,,
mercredi,28,6,2006,5,O3,,
jeudi,29,6,2006,6,O3,,
vendredi,30,6,2006,7,O3,,
samedi,1,7,2006,7,O3,,
dimanche,2,7,2006,6,O3,,
lundi,3,7,2006,8,O3,,
mardi,4,7,2006,7,O3,,
mercredi,5,7,2006,5,O3,,
jeudi,6,7,2006,4,O3,,
vendredi,7,7,2006,3,O3,PM10,
samedi,8,7,2006,4,O3,,
dimanche,9,7,2006,3,O3,,
lundi,10,7,2006,4,O3,,
mardi,11,7,2006,3,O3,PM10,
mercredi,12,7,2006,5,O3,,
jeudi,13,7,2006,6,O3,,
vendredi,14,7,2006,6,O3,,
samedi,15,7,2006,5,O3,,
dimanche,16,7,2006,6,O3,,
lundi,17,7,2006,6,O3,,
mardi,18,7,2006,7,O3,,
mercredi,19,7,2006,8,O3,,
jeudi,20,7,2006,6,O3,,
vendredi,21,7,2006,7,O3,,
samedi,22,7,2006,6,O3,,
dimanche,23,7,2006,5,O3,,
lundi,24,7,2006,6,O3,,
mardi,25,7,2006,8,O3,,
mercredi,26,7,2006,8,O3,,
jeudi,27,7,2006,5,O3,,
vendredi,28,7,2006,6,O3,,
samedi,29,7,2006,5,O3,,
dimanche,30,7,2006,2,NO2,O3,PM10
lundi,31,7,2006,3,O3,,
mardi,1,8,2006,3,O3,,
mercredi,2,8,2006,3,O3,,
jeudi,3,8,2006,3,O3,,
vendredi,4,8,2006,3,O3,,
samedi,5,8,2006,4,O3,,
dimanche,6,8,2006,4,O3,,
lundi,7,8,2006,3,O3,PM10,
mardi,8,8,2006,3,O3,,
mercredi,9,8,2006,3,O3,,
jeudi,10,8,2006,3,O3,,
vendredi,11,8,2006,3,O3,,
samedi,12,8,2006,3,O3,,
dimanche,13,8,2006,3,O3,,
lundi,14,8,2006,4,O3,,
mardi,15,8,2006,4,O3,,
mercredi,16,8,2006,4,O3,,
jeudi,17,8,2006,3,O3,,
vendredi,18,8,2006,3,O3,,
samedi,19,8,2006,4,O3,,
dimanche,20,8,2006,3,O3,,
lundi,21,8,2006,3,O3,,
mardi,22,8,2006,4,O3,,
mercredi,23,8,2006,4,NO2,O3,
jeudi,24,8,2006,3,O3,,
vendredi,25,8,2006,4,O3,,
samedi,26,8,2006,3,NO2,O3,
dimanche,27,8,2006,3,O3,,
lundi,28,8,2006,3,NO2,O3,
mardi,29,8,2006,2,NO2,O3,PM10
mercredi,30,8,2006,3,NO2,O3,
jeudi,31,8,2006,4,NO2,O3,
vendredi,1,9,2006,4,O3,,
samedi,2,9,2006,3,O3,,
dimanche,3,9,2006,2,O3,PM10,
lundi,4,9,2006,2,NO2,O3,PM10
mardi,5,9,2006,3,NO2,O3,PM10
mercredi,6,9,2006,4,O3,PM10,
jeudi,7,9,2006,3,O3,PM10,
vendredi,8,9,2006,3,O3,,
samedi,9,9,2006,4,O3,,
dimanche,10,9,2006,6,O3,,
lundi,11,9,2006,5,O3,,
mardi,12,9,2006,6,O3,,
mercredi,13,9,2006,4,O3,PM10,
jeudi,14,9,2006,4,O3,,
vendredi,15,9,2006,4,PM10,,
samedi,16,9,2006,4,PM10,,
dimanche,17,9,2006,4,O3,PM10,
lundi,18,9,2006,3,NO2,O3,PM10
mardi,19,9,2006,3,NO2,O3,
mercredi,20,9,2006,3,NO2,O3,PM10
jeudi,21,9,2006,4,O3,,
vendredi,22,9,2006,3,NO2,O3,
samedi,23,9,2006,4,O3,,
dimanche,24,9,2006,3,O3,,
lundi,25,9,2006,3,O3,,
mardi,26,9,2006,3,NO2,O3,
mercredi,27,9,2006,4,NO2,,
jeudi,28,9,2006,4,O3,,
vendredi,29,9,2006,4,O3,,
samedi,30,9,2006,3,O3,,
dimanche,1,10,2006,3,O3,,
lundi,2,10,2006,2,NO2,O3,PM10
mardi,3,10,2006,3,NO2,,
mercredi,4,10,2006,3,NO2,O3,
jeudi,5,10,2006,3,NO2,,
vendredi,6,10,2006,3,O3,,
samedi,7,10,2006,3,NO2,O3,PM10
dimanche,8,10,2006,3,NO2,O3,PM10
lundi,9,10,2006,3,NO2,PM10,
mardi,10,10,2006,4,NO2,,
mercredi,11,10,2006,3,NO2,PM10,
jeudi,12,10,2006,2,NO2,O3,PM10
vendredi,13,10,2006,3,NO2,PM10,
samedi,14,10,2006,3,O3,PM10,
dimanche,15,10,2006,4,PM10,,
lundi,16,10,2006,4,PM10,,
mardi,17,10,2006,4,PM10,,
mercredi,18,10,2006,3,NO2,PM10,
jeudi,19,10,2006,3,NO2,O3,
vendredi,20,10,2006,3,NO2,O3,
samedi,21,10,2006,3,O3,,
dimanche,22,10,2006,3,O3,,
lundi,23,10,2006,3,O3,,
mardi,24,10,2006,3,NO2,O3,
mercredi,25,10,2006,3,NO2,PM10,
jeudi,26,10,2006,3,NO2,PM10,
vendredi,27,10,2006,3,NO2,PM10,
samedi,28,10,2006,3,NO2,,
dimanche,29,10,2006,2,NO2,O3,PM10
lundi,30,10,2006,4,PM10,,
mardi,31,10,2006,3,PM10,,
mercredi,1,11,2006,3,O3,,
jeudi,2,11,2006,3,NO2,,
vendredi,3,11,2006,4,NO2,,
samedi,4,11,2006,4,NO2,PM10,
dimanche,5,11,2006,4,PM10,,
lundi,6,11,2006,3,NO2,PM10,
mardi,7,11,2006,3,NO2,PM10,
mercredi,8,11,2006,4,NO2,PM10,
jeudi,9,11,2006,3,NO2,PM10,
vendredi,10,11,2006,4,NO2,PM10,
samedi,11,11,2006,3,O3,,
dimanche,12,11,2006,3,NO2,O3,
lundi,13,11,2006,2,NO2,O3,PM10
mardi,14,11,2006,2,NO2,O3,PM10
mercredi,15,11,2006,3,NO2,,
jeudi,16,11,2006,3,NO2,,
vendredi,17,11,2006,3,NO2,,
samedi,18,11,2006,3,NO2,O3,
dimanche,19,11,2006,3,NO2,,
lundi,20,11,2006,2,NO2,O3,
mardi,21,11,2006,3,NO2,O3,
mercredi,22,11,2006,3,NO2,,
jeudi,23,11,2006,3,NO2,,
vendredi,24,11,2006,3,NO2,,
samedi,25,11,2006,3,O3,,
dimanche,26,11,2006,3,NO2,O3,
lundi,27,11,2006,3,NO2,,
mardi,28,11,2006,3,PM10,,
mercredi,29,11,2006,4,NO2,,
jeudi,30,11,2006,3,NO2,,
vendredi,1,12,2006,3,NO2,,
samedi,2,12,2006,3,PM10,,
dimanche,3,12,2006,3,O3,,
lundi,4,12,2006,3,O3,,
mardi,5,12,2006,3,O3,,
mercredi,6,12,2006,3,NO2,PM10,
jeudi,7,12,2006,2,NO2,O3,PM10
vendredi,8,12,2006,3,O3,,
samedi,9,12,2006,3,NO2,,
dimanche,10,12,2006,3,NO2,PM10,
lundi,11,12,2006,2,NO2,O3,PM10
mardi,12,12,2006,4,NO2,,
mercredi,13,12,2006,3,NO2,PM10,
jeudi,14,12,2006,3,NO2,PM10,
vendredi,15,12,2006,3,NO2,PM10,
samedi,16,12,2006,3,NO2,,
dimanche,17,12,2006,3,NO2,PM10,
lundi,18,12,2006,3,NO2,PM10,
mardi,19,12,2006,3,NO2,PM10,
mercredi,20,12,2006,3,NO2,PM10,
jeudi,21,12,2006,3,NO2,PM10,
vendredi,22,12,2006,3,NO2,,
samedi,23,12,2006,3,PM10,,
dimanche,24,12,2006,2,NO2,PM10,
lundi,25,12,2006,2,NO2,PM10,
mardi,26,12,2006,2,NO2,PM10,
mercredi,27,12,2006,2,NO2,PM10,
jeudi,28,12,2006,3,NO2,PM10,
vendredi,29,12,2006,3,NO2,PM10,
samedi,30,12,2006,3,O3,,
dimanche,31,12,2006,3,O3,,
lundi,1,1,2007,3,O3,,
mardi,2,1,2007,3,O3,,
mercredi,3,1,2007,3,NO2,PM10,
jeudi,4,1,2007,3,O3,,
vendredi,5,1,2007,2,NO2,O3,PM10
samedi,6,1,2007,3,O3,,
dimanche,7,1,2007,3,O3,,
lundi,8,1,2007,3,O3,,
mardi,9,1,2007,2,NO2,O3,PM10
mercredi,10,1,2007,3,NO2,,
jeudi,11,1,2007,3,O3,,
vendredi,12,1,2007,4,PM10,,
samedi,13,1,2007,2,NO2,O3,
dimanche,14,1,2007,4,NO2,,
lundi,15,1,2007,4,PM10,,
mardi,16,1,2007,3,PM10,,
mercredi,17,1,2007,2,NO2,O3,PM10
jeudi,18,1,2007,3,O3,,
vendredi,19,1,2007,3,O3,,
samedi,20,1,2007,3,O3,,
dimanche,21,1,2007,3,O3,,
lundi,22,1,2007,4,PM10,,
mardi,23,1,2007,3,NO2,,
mercredi,24,1,2007,3,NO2,PM10,
jeudi,25,1,2007,4,PM10,,
vendredi,26,1,2007,5,PM10,,
samedi,27,1,2007,5,PM10,,
dimanche,28,1,2007,3,NO2,PM10,
lundi,29,1,2007,3,NO2,PM10,
mardi,30,1,2007,4,PM10,,
mercredi,31,1,2007,3,NO2,PM10,
jeudi,1,2,2007,5,PM10,,
vendredi,2,2,2007,5,PM10,,
samedi,3,2,2007,3,O3,PM10,
dimanche,4,2,2007,4,PM10,,
lundi,5,2,2007,4,PM10,,
mardi,6,2,2007,6,PM10,,
mercredi,7,2,2007,3,NO2,PM10,
jeudi,8,2,2007,3,NO2,O3,
vendredi,9,2,2007,3,NO2,PM10,
samedi,10,2,2007,3,O3,,
dimanche,11,2,2007,3,O3,PM10,
lundi,12,2,2007,3,O3,,
mardi,13,2,2007,3,NO2,O3,PM10
mercredi,14,2,2007,2,NO2,O3,PM10
jeudi,15,2,2007,4,NO2,PM10,
vendredi,16,2,2007,4,NO2,,
samedi,17,2,2007,4,NO2,,
dimanche,18,2,2007,5,PM10,,
lundi,19,2,2007,5,PM10,,
mardi,20,2,2007,5,PM10,,
mercredi,21,2,2007,3,NO2,O3,PM10
jeudi,22,2,2007,3,NO2,PM10,
vendredi,23,2,2007,3,O3,PM10,
samedi,24,2,2007,3,O3,,
dimanche,25,2,2007,4,O3,,
lundi,26,2,2007,3,O3,,
mardi,27,2,2007,3,NO2,,
mercredi,28,2,2007,3,O3,,
jeudi,1,3,2007,3,O3,,
vendredi,2,3,2007,3,NO2,O3,
samedi,3,3,2007,3,NO2,O3,
dimanche,4,3,2007,3,NO2,O3,
lundi,5,3,2007,4,O3,,
mardi,6,3,2007,3,O3,,
mercredi,7,3,2007,4,NO2,,
jeudi,8,3,2007,4,NO2,,
vendredi,9,3,2007,3,NO2,O3,PM10
samedi,10,3,2007,3,NO2,O3,PM10
dimanche,11,3,2007,4,NO2,PM10,
lundi,12,3,2007,6,PM10,,
mardi,13,3,2007,6,PM10,,
mercredi,14,3,2007,6,PM10,,
jeudi,15,3,2007,6,PM10,,
vendredi,16,3,2007,5,PM10,,
samedi,17,3,2007,3,O3,PM10,
dimanche,18,3,2007,4,O3,,
lundi,19,3,2007,3,NO2,O3,
mardi,20,3,2007,3,NO2,O3,
mercredi,21,3,2007,3,O3,,
jeudi,22,3,2007,3,NO2,O3,PM10
vendredi,23,3,2007,4,PM10,,
samedi,24,3,2007,4,PM10,,
dimanche,25,3,2007,4,PM10,,
lundi,26,3,2007,4,NO2,O3,PM10
mardi,27,3,2007,6,PM10,,
mercredi,28,3,2007,6,PM10,,
jeudi,29,3,2007,6,PM10,,
vendredi,30,3,2007,3,NO2,O3,
samedi,31,3,2007,4,PM10,,
dimanche,1,4,2007,5,PM10,,
lundi,2,4,2007,5,PM10,,
mardi,3,4,2007,6,PM10,,
mercredi,4,4,2007,3,O3,PM10,
jeudi,5,4,2007,4,PM10,,
vendredi,6,4,2007,6,PM10,,
samedi,7,4,2007,5,PM10,,
dimanche,8,4,2007,4,O3,,
lundi,9,4,2007,5,O3,,
mardi,10,4,2007,5,O3,PM10,
mercredi,11,4,2007,4,O3,PM10,
jeudi,12,4,2007,5,O3,PM10,
vendredi,13,4,2007,6,PM10,,
samedi,14,4,2007,7,PM10,,
dimanche,15,4,2007,8,PM10,,
lundi,16,4,2007,7,PM10,,
mardi,17,4,2007,6,PM10,,
mercredi,18,4,2007,4,O3,PM10,
jeudi,19,4,2007,5,PM10,,
vendredi,20,4,2007,4,O3,PM10,
samedi,21,4,2007,4,O3,,
dimanche,22,4,2007,6,O3,,
lundi,23,4,2007,6,O3,,
mardi,24,4,2007,5,O3,PM10,
mercredi,25,4,2007,6,O3,,
jeudi,26,4,2007,5,O3,PM10,
vendredi,27,4,2007,7,O3,PM10,
samedi,28,4,2007,6,O3,,
dimanche,29,4,2007,6,O3,,
lundi,30,4,2007,5,O3,,
mardi,1,5,2007,6,O3,,
mercredi,2,5,2007,5,O3,,
jeudi,3,5,2007,5,O3,,
vendredi,4,5,2007,6,PM10,,
samedi,5,5,2007,4,O3,PM10,
dimanche,6,5,2007,4,O3,PM10,
lundi,7,5,2007,2,NO2,O3,PM10
mardi,8,5,2007,3,O3,,
mercredi,9,5,2007,3,O3,,
jeudi,10,5,2007,4,O3,,
vendredi,11,5,2007,4,O3,,
samedi,12,5,2007,4,O3,,
dimanche,13,5,2007,4,O3,,
lundi,14,5,2007,4,O3,,
mardi,15,5,2007,3,O3,,
mercredi,16,5,2007,4,O3,,
jeudi,17,5,2007,2,O3,PM10,
vendredi,18,5,2007,3,O3,,
samedi,19,5,2007,4,O3,,
dimanche,20,5,2007,3,O3,PM10,
lundi,21,5,2007,4,O3,PM10,
mardi,22,5,2007,3,O3,PM10,
mercredi,23,5,2007,4,O3,PM10,
jeudi,24,5,2007,6,O3,,
vendredi,25,5,2007,7,O3,,
samedi,26,5,2007,4,O3,PM10,
dimanche,27,5,2007,4,O3,,
lundi,28,5,2007,3,O3,,
mardi,29,5,2007,4,O3,,
mercredi,30,5,2007,3,NO2,,
jeudi,31,5,2007,3,O3,,
vendredi,1,6,2007,3,O3,,
samedi,2,6,2007,5,O3,,
dimanche,3,6,2007,5,O3,PM10,
lundi,4,6,2007,5,O3,PM10,
mardi,5,6,2007,5,O3,PM10,
mercredi,6,6,2007,5,O3,PM10,
jeudi,7,6,2007,7,PM10,,
vendredi,8,6,2007,5,PM10,,
samedi,9,6,2007,5,O3,,
dimanche,10,6,2007,5,O3,,
lundi,11,6,2007,5,O3,PM10,
mardi,12,6,2007,5,O3,,
mercredi,13,6,2007,5,O3,,
jeudi,14,6,2007,3,NO2,O3,PM10
vendredi,15,6,2007,3,O3,,
samedi,16,6,2007,3,O3,,
dimanche,17,6,2007,4,O3,,
lundi,18,6,2007,3,NO2,O3,PM10
mardi,19,6,2007,4,O3,,
mercredi,20,6,2007,4,O3,,
jeudi,21,6,2007,3,O3,,
vendredi,22,6,2007,3,O3,,
samedi,23,6,2007,3,O3,,
dimanche,24,6,2007,3,O3,,
lundi,25,6,2007,3,O3,,
mardi,26,6,2007,3,O3,,
mercredi,27,6,2007,3,O3,,
jeudi,28,6,2007,3,O3,,
vendredi,29,6,2007,3,O3,,
samedi,30,6,2007,2,NO2,O3,PM10
dimanche,1,7,2007,3,O3,,
lundi,2,7,2007,3,O3,,
mardi,3,7,2007,3,O3,,
mercredi,4,7,2007,3,O3,,
jeudi,5,7,2007,3,O3,,
vendredi,6,7,2007,3,O3,,
samedi,7,7,2007,3,O3,,
dimanche,8,7,2007,3,O3,,
lundi,9,7,2007,3,O3,,
mardi,10,7,2007,2,NO2,O3,PM10
mercredi,11,7,2007,3,O3,,
jeudi,12,7,2007,2,NO2,O3,PM10
vendredi,13,7,2007,4,O3,,
samedi,14,7,2007,5,O3,,
dimanche,15,7,2007,5,O3,,
lundi,16,7,2007,4,O3,,
mardi,17,7,2007,3,O3,,
mercredi,18,7,2007,4,O3,,
jeudi,19,7,2007,5,O3,,
vendredi,20,7,2007,4,O3,,
samedi,21,7,2007,3,O3,,
dimanche,22,7,2007,3,O3,,
lundi,23,7,2007,3,O3,,
mardi,24,7,2007,4,O3,,
mercredi,25,7,2007,4,O3,,
jeudi,26,7,2007,3,O3,,
vendredi,27,7,2007,3,O3,,
samedi,28,7,2007,3,O3,,
dimanche,29,7,2007,3,O3,,
lundi,30,7,2007,3,O3,,
mardi,31,7,2007,4,O3,,
mercredi,1,8,2007,5,O3,,
jeudi,2,8,2007,5,O3,,
vendredi,3,8,2007,5,O3,,
samedi,4,8,2007,6,O3,,
dimanche,5,8,2007,5,O3,,
lundi,6,8,2007,3,NO2,O3,PM10
mardi,7,8,2007,4,O3,,
mercredi,8,8,2007,3,O3,,
jeudi,9,8,2007,3,O3,,
vendredi,10,8,2007,3,O3,PM10,
samedi,11,8,2007,4,O3,PM10,
dimanche,12,8,2007,5,O3,,
lundi,13,8,2007,3,O3,,
mardi,14,8,2007,4,O3,,
mercredi,15,8,2007,2,O3,PM10,
jeudi,16,8,2007,3,O3,,
vendredi,17,8,2007,3,O3,,
samedi,18,8,2007,3,O3,,
dimanche,19,8,2007,2,O3,,
lundi,20,8,2007,3,O3,,
mardi,21,8,2007,3,O3,,
mercredi,22,8,2007,3,O3,,
jeudi,23,8,2007,2,NO2,O3,PM10
vendredi,24,8,2007,3,NO2,PM10,
samedi,25,8,2007,5,O3,,
dimanche,26,8,2007,5,O3,,
lundi,27,8,2007,4,O3,,
mardi,28,8,2007,4,O3,,
mercredi,29,8,2007,3,O3,PM10,
jeudi,30,8,2007,4,O3,,
